,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금,,옥션 후 총 비용,상계거래 후 총 비용,편익,유틸리티 관점 옥션 후 수익,유틸리티 관점 상계거래 후 수익
u1,174.5174776,1,42.5468683,-24,0,0,0,-13,-1979.552413,29.5468683,110.7339427,0,-3302.581216,910,174.5174776,1,17556.45825,131.9706093,1,13276.2433,,13184.32462,14186.2433,1001.918678,120173.9232,185584.327
u2,256,2,0,0,0,57,9231.012524,0,0,0,110.7339427,0,0,1600,199,1,20019.4,256,2,31051.2,,30850.41252,32651.2,1800.787476,,
u3,60,1,0,0,0,0,0,0,0,0,110.7339427,0,0,910,60,1,6036,60,1,6036,,6946,6946,0,,
u4,109.2288566,1,277.6111744,-248,168.3823178,0,0,-181,-29331.52572,96.61117438,110.7339427,-18645.63792,-10805.38024,910,109.2288566,1,10988.42297,0,1,0,,-28238.483,-17735.63792,10502.84507,,
u5,480,3,0,0,0,241,38849.98344,0,0,0,110.7339427,0,0,7300,239,2,27732.8,480,3,82192,,73882.78344,89492,15609.21656,,
u6,392,2,0,0,0,173,27156.56071,0,0,0,110.7339427,0,0,1600,219,2,23828.8,392,2,57598.4,,52585.36071,59198.4,6613.039292,,
u7,107.505339,1,108.5347296,-82,1.029390678,0,0,-59,-9185.21464,49.53472964,110.7339427,-113.9884884,-5536.986547,910,107.505339,1,10815.0371,0,1,0,,-2997.164088,796.0115116,3793.1756,,
u8,23.13401281,1,423.5163306,-393,400.3823178,0,0,-288,-47234.54879,135.5163306,110.7339427,-44335.91262,-15110.68488,910,23.13401281,1,2327.281689,0,1,0,,-59107.95198,-43425.91262,15682.03936,,
u9,359,2,0,0,0,151,23967.20586,0,0,0,110.7339427,0,0,1600,208,2,21681.6,359,2,51156.8,,47248.80586,52756.8,5507.994137,,
u10,66.48562082,1,158.5150115,-127,92.02939068,0,0,-81,-13122.34963,77.5150115,110.7339427,-10190.77727,-8656.268749,910,66.48562082,1,6688.453455,0,1,0,,-14180.16492,-9280.77727,4899.387654,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,120173.9232,185584.327,65410.40383,,
