,순 조달량,누진단계,역송량,판매량,잔여 크레딧,구매 낙찰량,구매 낙찰가격,판매 낙찰량,판매 낙찰가격,미 판매량,월간 평균 SMP,상계거래 후 잔여크레딧 보상요금,옥션 후 SMP 보상요금,기본요금,옥션 후 순 조달량,옥션 후 누진단계,옥션 후 전력량요금,상계거래 후 순 조달량,상계거래 후 누진단계,상계거래 후 전력량요금
u1,196.0582951560134,1,74.51709178675857,-60,0,0,0,-16,-1871.2297869979716,58.51709178675855,78.49407037037037,0.0,-4788.392080125035,910,196.0582951560134,1,19723.464492694948,121.54120336925483,1,12227.045058947035
u2,191.00000000000009,1,0,0,0,26,2488.3050443124525,0,0,0,78.49407037037037,0.0,0,910,165.00000000000009,1,16599.000000000007,191.00000000000009,1,19214.600000000006
u3,454.0000000000006,3,0,0,0,130,18178.987671299463,0,0,0,78.49407037037037,0.0,0,7300,324.0000000000006,2,44324.80000000012,454.0000000000006,3,74706.60000000018
u4,167.6498295263854,1,216.08115724429456,-195,48.43132771790917,0,0,-76,-9833.674295776731,140.08115724429456,78.49407037037037,-3801.5720460200314,-11502.162882544146,910,167.6498295263854,1,16865.57285035437,0,1,0.0
u5,70.99999999999999,1,0,0,0,0,0,0,0,0,78.49407037037037,0.0,0,910,70.99999999999999,1,7142.5999999999985,70.99999999999999,1,7142.5999999999985
u6,98.99999999999997,1,0,0,0,2,185.20723733196945,0,0,0,78.49407037037037,0.0,0,910,96.99999999999997,1,9758.199999999997,98.99999999999997,1,9959.399999999996
u7,91.35014953636713,1,141.80894616711277,-117,50.45879663074564,0,0,-42,-5855.448030984624,99.80894616711274,78.49407037037037,-3960.716333537955,-8185.015197938068,910,91.35014953636713,1,9189.825043358533,0,1,0.0
u8,112.21039165716067,1,268.6417193750698,-241,156.4313277179091,0,0,-110,-15122.036165470716,158.64171937506987,78.49407037037037,-12278.931646020026,-12950.880596026127,910,112.21039165716067,1,11288.365400710363,0,1,0.0
u9,307.9999999999998,2,0,0,0,75,9492.082166970466,0,0,0,78.49407037037037,0.0,0,1600,232.99999999999977,2,26561.599999999955,307.9999999999998,2,41201.599999999955
u10,349.2146447661506,2,37.67344139689587,-26,0,17,2756.871974193534,-6,-656.6170054967495,31.673441396895875,78.49407037037037,0.0,-2610.4178446693218,1600,332.2146447661506,2,45928.2986583526,311.54120336925473,2,41892.84289767852
